reference_date,Commodity price index (A$),Monthly headline CPI inflation,Trade-weighted index,Unemployment rate
1978-02-28,,,,6.6
1978-03-31,,,,6.3
1978-04-30,,,,6.3
1978-05-31,,,,6.2
1978-06-30,,,,6.3
1978-07-31,,,,6.2
1978-08-31,,,,6.5
1978-09-30,,,,6.3
1978-10-31,,,,6.2
1978-11-30,,,,6.3
1978-12-31,,,,6.4
1979-01-31,,,,6.4
1979-02-28,,,,6.3
1979-03-31,,,,6.3
1979-04-30,,,,6.5
1979-05-31,,,,6.2
1979-06-30,,,,6.3
1979-07-31,,,,6.3
1979-08-31,,,,6.1
1979-09-30,,,,6.2
1979-10-31,,,,6.4
1979-11-30,,,,6.0
1979-12-31,,,,6.1
1980-01-31,,,,6.1
1980-02-29,,,,6.0
1980-03-31,,,,5.9
1980-04-30,,,,6.1
1980-05-31,,,,6.2
1980-06-30,,,,6.3
1980-07-31,,,,6.1
1980-08-31,,,,6.2
1980-09-30,,,,6.1
1980-10-31,,,,6.1
1980-11-30,,,,5.9
1980-12-31,,,,6.1
1981-01-31,,,,5.9
1981-02-28,,,,5.6
1981-03-31,,,,5.7
1981-04-30,,,,5.6
1981-05-31,,,,5.6
1981-06-30,,,,5.4
1981-07-31,,,,5.8
1981-08-31,,,,5.8
1981-09-30,,,,5.8
1981-10-31,,,,5.9
1981-11-30,,,,6.0
1981-12-31,,,,6.0
1982-01-31,,,,6.0
1982-02-28,,,,6.3
1982-03-31,,,,6.3
1982-04-30,,,,6.3
1982-05-31,,,,6.6
1982-06-30,,,,6.8
1982-07-31,22.1,,,6.9
1982-08-31,22.3,,,7.0
1982-09-30,23.1,,,7.4
1982-10-31,23.4,,,8.3
1982-11-30,23.4,,,8.7
1982-12-31,23.0,,,9.4
1983-01-31,23.2,,,9.3
1983-02-28,23.8,,,9.7
1983-03-31,25.1,,,10.0
1983-04-30,25.6,,,10.2
1983-05-31,25.5,,,10.3
1983-06-30,25.4,,,10.2
1983-07-31,25.2,,,10.5
1983-08-31,25.4,,,10.2
1983-09-30,24.8,,,10.3
1983-10-31,24.2,,,10.0
1983-11-30,23.6,,,9.7
1983-12-31,23.7,,,9.5
1984-01-31,23.6,,,9.5
1984-02-29,23.0,,,9.4
1984-03-31,23.1,,,9.2
1984-04-30,23.0,,,9.4
1984-05-31,23.2,,,8.9
1984-06-30,23.5,,,9.1
1984-07-31,23.8,,,8.9
1984-08-31,23.6,,,8.8
1984-09-30,23.6,,,8.7
1984-10-31,23.5,,,8.7
1984-11-30,23.4,,,8.7
1984-12-31,23.2,,,8.5
1985-01-31,23.6,,,8.6
1985-02-28,25.4,,,8.4
1985-03-31,27.0,,,8.7
1985-04-30,28.3,,,8.4
1985-05-31,27.6,,,8.4
1985-06-30,27.4,,,8.6
1985-07-31,26.4,,,8.3
1985-08-31,26.0,,,8.2
1985-09-30,26.6,,,8.1
1985-10-31,26.2,,,7.8
1985-11-30,27.3,,,8.0
1985-12-31,27.3,,,7.8
1986-01-31,26.8,,,7.8
1986-02-28,25.8,,,8.0
1986-03-31,25.8,,,7.9
1986-04-30,25.2,,,7.9
1986-05-31,25.0,,,7.8
1986-06-30,25.2,,,7.7
1986-07-31,26.2,,,8.1
1986-08-31,27.6,,,8.2
1986-09-30,27.7,,,8.3
1986-10-31,27.3,,,8.3
1986-11-30,27.2,,,8.3
1986-12-31,26.7,,,8.4
1987-01-31,26.9,,,8.2
1987-02-28,27.7,,,8.2
1987-03-31,27.6,,,8.4
