trading_date,ticker,sector,article_count,text,word_count
2020-01-03,CMCSA,Comm,1,"Ex-Dividend Reminder: Comcast, New York Times and Interdigital",8
2020-01-03,EA,Comm,3,"Is Activision Blizzard's Stock Fairly Priced? | Nomura Internet Stock Preview For The Year: Buy Google, Activision Blizzard | Noteworthy ETF Outflows: XLC, CHTR, ATVI, EA",26
2020-01-03,T,Comm,7,5 High-Yield Dividend Stocks to Make You Richer in 2020 | Brookfield Infrastructure Partners Dives Deeper Into Data to Keep Growing Its 4% Dividend | February 14th Options Now Available For AT&T (T) | Get Ready for 2020 to Be a Turnaround Year for Netflix Stock | Why Did We Increase Verizon’s Stock Price Estimate By 15% Within 6 Months? | Apple TV+ Adds a Top Producer to Help Bolster Its Streaming Service | Richard Plepler's Eden Productions To Produce Content For Apple TV+,84
2020-01-03,TMUS,Comm,2,"Noteworthy Thursday Option Activity: BLK, REGN, TMUS | Why Did We Increase Verizon’s Stock Price Estimate By 15% Within 6 Months?",21
2020-01-03,TTWO,Comm,1,2 Gaming Stocks to Buy in January,7
2020-01-03,DIS,Consumer,11,"3 Stocks to Buy and Hold for the Next 50 Years | Dow Jones Futures Signal Stock Market Gains To Start 2020: Tesla Deliveries Loom; Google, Disney Test Key Support | 5-Year Returns for 5 Dow Jones Stocks Entering 2020 | Bulls Dominating 2020 So Far - Your Update And Plan | Consumer Sector Update for 01/02/2020: WMT, MCD, DIS, CVS, KO, JMEI, AXE, FAMI | Jeff Clark’s Market Minute: A Mickey Mouse Tax Plan to Save America | Netflix Is Still Thriving, Just as Management Predicted | Daily Markets: Bull Market May Have Met Its Bear | Evidence Suggests Disney+ Subscribers Have Soared to 25 Million | Richard Plepler's Eden Productions To Produce Content For Apple TV+ | Will Roku Carry Momentum Over Into 2020?",126
2020-01-03,KO,Consumer,5,"Consumer Sector Update for 01/02/2020: WMT, MCD, DIS, CVS, KO, JMEI, AXE, FAMI | Is Coca-Cola Planning On Marketing A CBD Extract Version In Canada? | Meet the 2020 Dogs of the Dow | Why 2020 Could be Another Big Year for Luckin Coffee Stock | Gold, Bonds, Crude All On The Rise After US Strike In Middle East Sparks Fears",61
2020-01-03,NKE,Consumer,6,"3 Ways to Prepare Your Stock Portfolio for a Recession | NKE February 14th Options Begin Trading | That Nike Store You Walked By Made $34 Million For Nike’s Stock | Under Armour Stock Appears Balanced Heading Into 2020 | 4 Reasons Under Armour Will Head Lower in 2020 | After an Epic 2019 Rally, I've Got Nike Stock on Hold -- for the Moment",65
2020-01-03,SBUX,Consumer,3,3 Ways to Prepare Your Stock Portfolio for a Recession | Starbucks Losing Ground To Homegrown Luckin Coffee In China | Why 2020 Could be Another Big Year for Luckin Coffee Stock,32
2020-01-03,WMT,Consumer,7,"3 Stocks to Profit From New Year’s Resolutions | 5-Year Returns for 5 Dow Jones Stocks Entering 2020 | Consumer Sector Update for 01/02/2020: WMT, MCD, DIS, CVS, KO, JMEI, AXE, FAMI | What Are Walgreens Key Sources of Revenue? | 3 Top Fintech Stocks to Buy in January | 6 Reasons JD.com's Stock Will Hit New Highs in 2020 | Can Plug Power Really Hit $1 Billion in Sales by 2024?",72
