date,fund,asset,weight
2020-07-06,Combined Equal Weight,ABBV,0.016666666666666666
2020-07-06,Combined Equal Weight,ABT,0.016666666666666666
2020-07-06,Combined Equal Weight,ADA-USD,0.016666666666666666
2020-07-06,Combined Equal Weight,ADBE,0.016666666666666666
2020-07-06,Combined Equal Weight,AEP,0.016666666666666666
2020-07-06,Combined Equal Weight,AMD,0.016666666666666666
2020-07-06,Combined Equal Weight,AMGN,0.016666666666666666
2020-07-06,Combined Equal Weight,AMT,0.016666666666666666
2020-07-06,Combined Equal Weight,BA,0.016666666666666666
2020-07-06,Combined Equal Weight,BCH-USD,0.016666666666666666
2020-07-06,Combined Equal Weight,BTC-USD,0.016666666666666666
2020-07-06,Combined Equal Weight,CAT,0.016666666666666666
2020-07-06,Combined Equal Weight,CCI,0.016666666666666666
2020-07-06,Combined Equal Weight,CMCSA,0.016666666666666666
2020-07-06,Combined Equal Weight,COP,0.016666666666666666
2020-07-06,Combined Equal Weight,CVX,0.016666666666666666
2020-07-06,Combined Equal Weight,D,0.016666666666666666
2020-07-06,Combined Equal Weight,DD,0.016666666666666666
2020-07-06,Combined Equal Weight,DIS,0.016666666666666666
2020-07-06,Combined Equal Weight,DOW,0.016666666666666666
2020-07-06,Combined Equal Weight,DUK,0.016666666666666666
2020-07-06,Combined Equal Weight,EA,0.016666666666666666
2020-07-06,Combined Equal Weight,EOS-USD,0.016666666666666666
2020-07-06,Combined Equal Weight,ETC-USD,0.016666666666666666
2020-07-06,Combined Equal Weight,ETH-USD,0.016666666666666666
2020-07-06,Combined Equal Weight,GE,0.016666666666666666
2020-07-06,Combined Equal Weight,GILD,0.016666666666666666
2020-07-06,Combined Equal Weight,GS,0.016666666666666666
2020-07-06,Combined Equal Weight,INTC,0.016666666666666666
2020-07-06,Combined Equal Weight,KO,0.016666666666666666
2020-07-06,Combined Equal Weight,LTC-USD,0.016666666666666666
2020-07-06,Combined Equal Weight,MMM,0.016666666666666666
2020-07-06,Combined Equal Weight,MRK,0.016666666666666666
2020-07-06,Combined Equal Weight,MS,0.016666666666666666
2020-07-06,Combined Equal Weight,NEE,0.016666666666666666
2020-07-06,Combined Equal Weight,NEM,0.016666666666666666
2020-07-06,Combined Equal Weight,NKE,0.016666666666666666
2020-07-06,Combined Equal Weight,NUE,0.016666666666666666
2020-07-06,Combined Equal Weight,NVDA,0.016666666666666666
2020-07-06,Combined Equal Weight,O,0.016666666666666666
2020-07-06,Combined Equal Weight,OXY,0.016666666666666666
2020-07-06,Combined Equal Weight,PLD,0.016666666666666666
2020-07-06,Combined Equal Weight,PSA,0.016666666666666666
2020-07-06,Combined Equal Weight,QCOM,0.016666666666666666
2020-07-06,Combined Equal Weight,SBUX,0.016666666666666666
2020-07-06,Combined Equal Weight,SHW,0.016666666666666666
2020-07-06,Combined Equal Weight,SLB,0.016666666666666666
2020-07-06,Combined Equal Weight,SO,0.016666666666666666
2020-07-06,Combined Equal Weight,T,0.016666666666666666
2020-07-06,Combined Equal Weight,TMUS,0.016666666666666666
2020-07-06,Combined Equal Weight,TRX-USD,0.016666666666666666
2020-07-06,Combined Equal Weight,TTWO,0.016666666666666666
2020-07-06,Combined Equal Weight,UPS,0.016666666666666666
2020-07-06,Combined Equal Weight,USB,0.016666666666666666
2020-07-06,Combined Equal Weight,V,0.016666666666666666
2020-07-06,Combined Equal Weight,WFC,0.016666666666666666
2020-07-06,Combined Equal Weight,WMT,0.016666666666666666
2020-07-06,Combined Equal Weight,XLM-USD,0.016666666666666666
2020-07-06,Combined Equal Weight,XOM,0.016666666666666666
2020-07-06,Combined Equal Weight,XRP-USD,0.016666666666666666
2020-07-06,Combined Minimum Variance,ABBV,0.08643917077609917
2020-07-06,Combined Minimum Variance,ABT,0.0
2020-07-06,Combined Minimum Variance,ADA-USD,0.0
2020-07-06,Combined Minimum Variance,ADBE,1.4124144974370513e-18
2020-07-06,Combined Minimum Variance,AEP,0.017386995879243708
2020-07-06,Combined Minimum Variance,AMD,8.86508179964048e-19
2020-07-06,Combined Minimum Variance,AMGN,0.017044031403177756
2020-07-06,Combined Minimum Variance,AMT,1.7766159083502237e-18
2020-07-06,Combined Minimum Variance,BA,0.0
2020-07-06,Combined Minimum Variance,BCH-USD,1.1238725842116333e-18
2020-07-06,Combined Minimum Variance,BTC-USD,0.0004974388307369599
2020-07-06,Combined Minimum Variance,CAT,2.9669244909680604e-19
2020-07-06,Combined Minimum Variance,CCI,1.9270719391153453e-18
2020-07-06,Combined Minimum Variance,CMCSA,0.00015415355610134095
2020-07-06,Combined Minimum Variance,COP,7.492272892845434e-19
2020-07-06,Combined Minimum Variance,CVX,0.0
2020-07-06,Combined Minimum Variance,D,1.4299663944338747e-18
2020-07-06,Combined Minimum Variance,DD,9.536575248566224e-19
2020-07-06,Combined Minimum Variance,DIS,2.6372382809777103e-18
2020-07-06,Combined Minimum Variance,DOW,1.1302485709553914e-18
2020-07-06,Combined Minimum Variance,DUK,3.181524694948509e-18
2020-07-06,Combined Minimum Variance,EA,0.1013128529998845
2020-07-06,Combined Minimum Variance,EOS-USD,8.929366930511183e-19
2020-07-06,Combined Minimum Variance,ETC-USD,1.4097575860619918e-18
2020-07-06,Combined Minimum Variance,ETH-USD,1.0378621720945755e-18
2020-07-06,Combined Minimum Variance,GE,1.0683525048582497e-18
2020-07-06,Combined Minimum Variance,GILD,0.12743759818009737
2020-07-06,Combined Minimum Variance,GS,7.118323251751717e-19
2020-07-06,Combined Minimum Variance,INTC,1.4978634360184063e-18
2020-07-06,Combined Minimum Variance,KO,0.03542995966785163
2020-07-06,Combined Minimum Variance,LTC-USD,6.034142477597233e-19
2020-07-06,Combined Minimum Variance,MMM,0.038873113380847486
2020-07-06,Combined Minimum Variance,MRK,0.07347242448617858
2020-07-06,Combined Minimum Variance,MS,6.471894337507209e-19
2020-07-06,Combined Minimum Variance,NEE,2.555186905724339e-18
2020-07-06,Combined Minimum Variance,NEM,0.1597100803693539
2020-07-06,Combined Minimum Variance,NKE,0.0
2020-07-06,Combined Minimum Variance,NUE,0.0
2020-07-06,Combined Minimum Variance,NVDA,1.1512097570581989e-18
2020-07-06,Combined Minimum Variance,O,1.1401571196618628e-18
2020-07-06,Combined Minimum Variance,OXY,0.0
2020-07-06,Combined Minimum Variance,PLD,0.0
2020-07-06,Combined Minimum Variance,PSA,0.0533751068218619
2020-07-06,Combined Minimum Variance,QCOM,5.873092341921073e-19
2020-07-06,Combined Minimum Variance,SBUX,0.0
2020-07-06,Combined Minimum Variance,SHW,2.6509885528482274e-19
2020-07-06,Combined Minimum Variance,SLB,1.238393298924239e-18
2020-07-06,Combined Minimum Variance,SO,0.0
2020-07-06,Combined Minimum Variance,T,0.0077675784148674015
2020-07-06,Combined Minimum Variance,TMUS,0.021154524567209784
2020-07-06,Combined Minimum Variance,TRX-USD,8.768077530739285e-19
2020-07-06,Combined Minimum Variance,TTWO,0.08449617826943413
2020-07-06,Combined Minimum Variance,UPS,0.051913829613568156
2020-07-06,Combined Minimum Variance,USB,3.2175726481343135e-19
2020-07-06,Combined Minimum Variance,V,1.123312002216396e-18
2020-07-06,Combined Minimum Variance,WFC,9.839891796490466e-19
2020-07-06,Combined Minimum Variance,WMT,0.12353496278348627
2020-07-06,Combined Minimum Variance,XLM-USD,7.656633642328934e-19
2020-07-06,Combined Minimum Variance,XOM,2.86255692790289e-19
2020-07-06,Combined Minimum Variance,XRP-USD,3.84603774589011e-18
2020-07-06,Combined Maximum Sharpe,ABBV,5.3814915724542015e-17
2020-07-06,Combined Maximum Sharpe,ABT,2.478649151502554e-16
2020-07-06,Combined Maximum Sharpe,ADA-USD,0.19999999999999965
2020-07-06,Combined Maximum Sharpe,ADBE,1.6740677426709022e-16
2020-07-06,Combined Maximum Sharpe,AEP,0.0
2020-07-06,Combined Maximum Sharpe,AMD,0.0
2020-07-06,Combined Maximum Sharpe,AMGN,0.0
2020-07-06,Combined Maximum Sharpe,AMT,0.0
2020-07-06,Combined Maximum Sharpe,BA,0.0
2020-07-06,Combined Maximum Sharpe,BCH-USD,0.0
2020-07-06,Combined Maximum Sharpe,BTC-USD,0.0
2020-07-06,Combined Maximum Sharpe,CAT,0.0
2020-07-06,Combined Maximum Sharpe,CCI,0.0
2020-07-06,Combined Maximum Sharpe,CMCSA,1.4315710196574018e-17
2020-07-06,Combined Maximum Sharpe,COP,0.0
2020-07-06,Combined Maximum Sharpe,CVX,4.479464873582876e-17
2020-07-06,Combined Maximum Sharpe,D,0.0
2020-07-06,Combined Maximum Sharpe,DD,2.4719149648525705e-17
2020-07-06,Combined Maximum Sharpe,DIS,2.3367183150546678e-17
2020-07-06,Combined Maximum Sharpe,DOW,7.967644021046211e-17
2020-07-06,Combined Maximum Sharpe,DUK,4.967362252967033e-17
2020-07-06,Combined Maximum Sharpe,EA,0.059791778170025976
2020-07-06,Combined Maximum Sharpe,EOS-USD,0.0
2020-07-06,Combined Maximum Sharpe,ETC-USD,0.0
2020-07-06,Combined Maximum Sharpe,ETH-USD,0.01509080032198258
2020-07-06,Combined Maximum Sharpe,GE,0.0
2020-07-06,Combined Maximum Sharpe,GILD,0.19999999999999934
2020-07-06,Combined Maximum Sharpe,GS,0.0
2020-07-06,Combined Maximum Sharpe,INTC,0.0
2020-07-06,Combined Maximum Sharpe,KO,0.0
2020-07-06,Combined Maximum Sharpe,LTC-USD,0.0
2020-07-06,Combined Maximum Sharpe,MMM,0.0
2020-07-06,Combined Maximum Sharpe,MRK,0.0
2020-07-06,Combined Maximum Sharpe,MS,0.0
2020-07-06,Combined Maximum Sharpe,NEE,1.2772312943601349e-17
2020-07-06,Combined Maximum Sharpe,NEM,0.19999999999999965
2020-07-06,Combined Maximum Sharpe,NKE,6.763483760175661e-18
2020-07-06,Combined Maximum Sharpe,NUE,0.0
2020-07-06,Combined Maximum Sharpe,NVDA,0.12511742150799213
2020-07-06,Combined Maximum Sharpe,O,3.611720976048165e-17
2020-07-06,Combined Maximum Sharpe,OXY,0.0
2020-07-06,Combined Maximum Sharpe,PLD,0.0
2020-07-06,Combined Maximum Sharpe,PSA,1.2362524769582688e-17
2020-07-06,Combined Maximum Sharpe,QCOM,5.727180026882488e-17
2020-07-06,Combined Maximum Sharpe,SBUX,5.996195949567469e-17
2020-07-06,Combined Maximum Sharpe,SHW,4.764673409444562e-17
2020-07-06,Combined Maximum Sharpe,SLB,0.0
2020-07-06,Combined Maximum Sharpe,SO,0.0
2020-07-06,Combined Maximum Sharpe,T,9.134359991104258e-18
2020-07-06,Combined Maximum Sharpe,TMUS,1.3339664069281876e-16
2020-07-06,Combined Maximum Sharpe,TRX-USD,0.0
2020-07-06,Combined Maximum Sharpe,TTWO,0.0
2020-07-06,Combined Maximum Sharpe,UPS,0.0
2020-07-06,Combined Maximum Sharpe,USB,0.0
2020-07-06,Combined Maximum Sharpe,V,1.1769732050245265e-17
2020-07-06,Combined Maximum Sharpe,WFC,0.0
2020-07-06,Combined Maximum Sharpe,WMT,0.0
2020-07-06,Combined Maximum Sharpe,XLM-USD,0.1999999999999996
2020-07-06,Combined Maximum Sharpe,XOM,8.605283556239696e-17
2020-07-06,Combined Maximum Sharpe,XRP-USD,3.3630633884993305e-17
2020-08-03,Combined Equal Weight,ABBV,0.016666666666666666
2020-08-03,Combined Equal Weight,ABT,0.016666666666666666
2020-08-03,Combined Equal Weight,ADA-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,ADBE,0.016666666666666666
2020-08-03,Combined Equal Weight,AEP,0.016666666666666666
2020-08-03,Combined Equal Weight,AMD,0.016666666666666666
2020-08-03,Combined Equal Weight,AMGN,0.016666666666666666
2020-08-03,Combined Equal Weight,AMT,0.016666666666666666
2020-08-03,Combined Equal Weight,BA,0.016666666666666666
2020-08-03,Combined Equal Weight,BCH-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,BTC-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,CAT,0.016666666666666666
2020-08-03,Combined Equal Weight,CCI,0.016666666666666666
2020-08-03,Combined Equal Weight,CMCSA,0.016666666666666666
2020-08-03,Combined Equal Weight,COP,0.016666666666666666
2020-08-03,Combined Equal Weight,CVX,0.016666666666666666
2020-08-03,Combined Equal Weight,D,0.016666666666666666
2020-08-03,Combined Equal Weight,DD,0.016666666666666666
2020-08-03,Combined Equal Weight,DIS,0.016666666666666666
2020-08-03,Combined Equal Weight,DOW,0.016666666666666666
2020-08-03,Combined Equal Weight,DUK,0.016666666666666666
2020-08-03,Combined Equal Weight,EA,0.016666666666666666
2020-08-03,Combined Equal Weight,EOS-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,ETC-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,ETH-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,GE,0.016666666666666666
2020-08-03,Combined Equal Weight,GILD,0.016666666666666666
2020-08-03,Combined Equal Weight,GS,0.016666666666666666
2020-08-03,Combined Equal Weight,INTC,0.016666666666666666
2020-08-03,Combined Equal Weight,KO,0.016666666666666666
2020-08-03,Combined Equal Weight,LTC-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,MMM,0.016666666666666666
2020-08-03,Combined Equal Weight,MRK,0.016666666666666666
2020-08-03,Combined Equal Weight,MS,0.016666666666666666
2020-08-03,Combined Equal Weight,NEE,0.016666666666666666
2020-08-03,Combined Equal Weight,NEM,0.016666666666666666
2020-08-03,Combined Equal Weight,NKE,0.016666666666666666
2020-08-03,Combined Equal Weight,NUE,0.016666666666666666
2020-08-03,Combined Equal Weight,NVDA,0.016666666666666666
2020-08-03,Combined Equal Weight,O,0.016666666666666666
2020-08-03,Combined Equal Weight,OXY,0.016666666666666666
2020-08-03,Combined Equal Weight,PLD,0.016666666666666666
2020-08-03,Combined Equal Weight,PSA,0.016666666666666666
2020-08-03,Combined Equal Weight,QCOM,0.016666666666666666
2020-08-03,Combined Equal Weight,SBUX,0.016666666666666666
2020-08-03,Combined Equal Weight,SHW,0.016666666666666666
2020-08-03,Combined Equal Weight,SLB,0.016666666666666666
2020-08-03,Combined Equal Weight,SO,0.016666666666666666
2020-08-03,Combined Equal Weight,T,0.016666666666666666
2020-08-03,Combined Equal Weight,TMUS,0.016666666666666666
2020-08-03,Combined Equal Weight,TRX-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,TTWO,0.016666666666666666
2020-08-03,Combined Equal Weight,UPS,0.016666666666666666
2020-08-03,Combined Equal Weight,USB,0.016666666666666666
2020-08-03,Combined Equal Weight,V,0.016666666666666666
2020-08-03,Combined Equal Weight,WFC,0.016666666666666666
2020-08-03,Combined Equal Weight,WMT,0.016666666666666666
2020-08-03,Combined Equal Weight,XLM-USD,0.016666666666666666
2020-08-03,Combined Equal Weight,XOM,0.016666666666666666
2020-08-03,Combined Equal Weight,XRP-USD,0.016666666666666666
2020-08-03,Combined Minimum Variance,ABBV,0.08883983251229303
2020-08-03,Combined Minimum Variance,ABT,1.4745149545802863e-17
2020-08-03,Combined Minimum Variance,ADA-USD,3.314147201564821e-19
2020-08-03,Combined Minimum Variance,ADBE,1.828161468945526e-18
2020-08-03,Combined Minimum Variance,AEP,0.017283846010647346
2020-08-03,Combined Minimum Variance,AMD,1.9877072134666935e-19
2020-08-03,Combined Minimum Variance,AMGN,0.02273772812662887
2020-08-03,Combined Minimum Variance,AMT,2.8176160978349715e-18
2020-08-03,Combined Minimum Variance,BA,0.0
2020-08-03,Combined Minimum Variance,BCH-USD,0.0
2020-08-03,Combined Minimum Variance,BTC-USD,0.00019763321703998032
2020-08-03,Combined Minimum Variance,CAT,1.2363490563239734e-18
2020-08-03,Combined Minimum Variance,CCI,4.660213352966887e-18
2020-08-03,Combined Minimum Variance,CMCSA,0.0015739272843528823
2020-08-03,Combined Minimum Variance,COP,0.0
2020-08-03,Combined Minimum Variance,CVX,0.0
2020-08-03,Combined Minimum Variance,D,2.379999639173733e-18
2020-08-03,Combined Minimum Variance,DD,5.611472907724408e-21
2020-08-03,Combined Minimum Variance,DIS,6.623988902129338e-19
2020-08-03,Combined Minimum Variance,DOW,0.0
2020-08-03,Combined Minimum Variance,DUK,4.056835700443451e-18
2020-08-03,Combined Minimum Variance,EA,0.10116949568340328
2020-08-03,Combined Minimum Variance,EOS-USD,4.551562659774031e-19
2020-08-03,Combined Minimum Variance,ETC-USD,7.036007309749691e-20
2020-08-03,Combined Minimum Variance,ETH-USD,0.0
2020-08-03,Combined Minimum Variance,GE,1.3650429170037657e-18
2020-08-03,Combined Minimum Variance,GILD,0.12791545396263207
2020-08-03,Combined Minimum Variance,GS,0.0
2020-08-03,Combined Minimum Variance,INTC,2.8323990280732906e-18
2020-08-03,Combined Minimum Variance,KO,0.032901990384723634
2020-08-03,Combined Minimum Variance,LTC-USD,7.806081416087991e-19
2020-08-03,Combined Minimum Variance,MMM,0.038214802092636994
2020-08-03,Combined Minimum Variance,MRK,0.07473912744404784
2020-08-03,Combined Minimum Variance,MS,0.0
2020-08-03,Combined Minimum Variance,NEE,1.3196299958752355e-18
2020-08-03,Combined Minimum Variance,NEM,0.1538951991935484
2020-08-03,Combined Minimum Variance,NKE,8.555258886971841e-18
2020-08-03,Combined Minimum Variance,NUE,5.883259879270086e-19
2020-08-03,Combined Minimum Variance,NVDA,1.744119687403182e-18
2020-08-03,Combined Minimum Variance,O,5.053466186945893e-19
2020-08-03,Combined Minimum Variance,OXY,0.0
2020-08-03,Combined Minimum Variance,PLD,0.0
2020-08-03,Combined Minimum Variance,PSA,0.05226849777765583
2020-08-03,Combined Minimum Variance,QCOM,1.260058197179952e-18
2020-08-03,Combined Minimum Variance,SBUX,1.9504929742272545e-18
2020-08-03,Combined Minimum Variance,SHW,3.759204467958267e-18
2020-08-03,Combined Minimum Variance,SLB,0.0
2020-08-03,Combined Minimum Variance,SO,1.0574412158447469e-19
2020-08-03,Combined Minimum Variance,T,0.00639009476017241
2020-08-03,Combined Minimum Variance,TMUS,0.022212881884039058
2020-08-03,Combined Minimum Variance,TRX-USD,0.0
